Sat1.X                    Sat1.Y                    Sat1.Z                    Sat1.ElapsedDays          Sat1.RAAN                 Sat1.Earth.RMAG           
-1461.65                  5975.54                   -4150.64                  0.140379                  98.6531                   7421                      
-1437.4                   6382.39                   -3503.02                  0.141588                  98.6536                   7421.06                   
-1397.9                   6721.28                   -2818.39                  0.142796                  98.6539                   7421.12                   
-1343.57                  6988.69                   -2104.03                  0.144004                  98.6541                   7421.18                   
-1275                     7181.84                   -1367.53                  0.145211                  98.6542                   7421.23                   
-1192.92                  7298.76                   -616.674                  0.146418                  98.6542                   7421.27                   
-1098.21                  7338.23                   140.607                   0.147625                  98.6542                   7421.29                   
-991.853                  7299.88                   896.34                    0.148832                  98.6543                   7421.29                   
-874.978                  7184.13                   1642.55                   0.150038                  98.6543                   7421.27                   
-748.812                  6992.18                   2371.39                   0.151245                  98.6545                   7421.24                   
-614.679                  6726.05                   3075.18                   0.152452                  98.6547                   7421.21                   
-473.991                  6388.52                   3746.46                   0.15366                   98.6551                   7421.17                   
-328.223                  5983.1                    4378.16                   0.154868                  98.6557                   7421.15                   
-178.913                  5514.02                   4963.55                   0.156076                  98.6564                   7421.14                   
-27.6368                  4986.22                   5496.4                    0.157285                  98.6573                   7421.15                   
124.004                   4405.22                   5971                      0.158495                  98.6585                   7421.2                    
274.401                   3777.16                   6382.28                   0.159705                  98.6597                   7421.3                    
421.953                   3108.68                   6725.77                   0.160916                  98.6612                   7421.45                   
565.083                   2406.87                   6997.76                   0.162127                  98.6627                   7421.66                   
702.262                   1679.2                    7195.29                   0.163338                  98.6644                   7421.93                   
832.017                   933.423                   7316.19                   0.164551                  98.6661                   7422.27                   
952.956                   177.531                   7359.1                    0.165763                  98.6679                   7422.67                   
1063.78                   -580.381                  7323.56                   0.166976                  98.6698                   7423.13                   
1163.29                   -1332.19                  7209.9                    0.168188                  98.6715                   7423.65                   
1250.43                   -2069.83                  7019.35                   0.169401                  98.6733                   7424.22                   
1324.25                   -2785.4                   6753.95                   0.170614                  98.6749                   7424.82                   
1383.98                   -3471.23                  6416.56                   0.171826                  98.6764                   7425.44                   
